year,pvalue,statistic
1,0.34661718132754105,0.8858030502730183
2,0.0006506597830419516,11.625150421179303
3,1.028234212530919e-05,19.458237501513135
4,3.7956274770562445e-07,25.795549122489597
5,1.4512480338905535e-10,41.09341030522631
6,3.0147017495922034e-13,53.198622199330416
7,1.1247750544217586e-17,73.28043215675748
8,3.309795894652494e-20,84.79488444193912
9,3.6142837684812945e-21,89.1747742278212
10,1.22080154663023e-21,91.32225042994021
11,4.882106214444743e-34,147.94292604501607
12,2.6367466074093287e-27,117.1685871986056
13,9.277146256081655e-32,137.52069297401349
14,1.1484168796699778e-29,127.95457234118065
15,1.5865025683610471e-34,150.176227321238
16,5.710499865469915e-40,175.09402473550887
17,1.2345377258435153e-36,159.8267368778665
18,2.6668027978686467e-36,158.29587649013092
19,5.241898846043247e-34,147.80165474060823
20,6.354955608724516e-37,161.1467050209205
21,6.62845658659302e-33,142.76134301270417
22,4.1750884056869825e-33,143.67949170490647
23,5.69363802880663e-38,165.94266722060655
24,3.5257224906988255e-36,157.74093511450383
25,5.567812985971971e-34,147.6818181818182
26,1.672323932846076e-33,145.49693251533742
27,6.777030084344254e-26,110.73098937040065
28,2.6384168620036424e-29,126.30377166156983
29,2.2856580180684518e-23,99.19723618090453
30,8.23943383087789e-20,82.99180327868852
